id,price,minimum_nights,calculated_host_listings_count,latitude,longitude,last_review_days_ago,reviews_per_month,is_superhost_proxy,avail_rate,room_type_enc,neighbourhood_enc,is_unsold
38534653,2010.0,31,13,25.03086,121.51962,729,0.05,1,0.9972602739726028,2,1,1
38615185,2010.0,1,27,25.05363,121.52564,2260,0.01,1,0.0,2,0,0
38616645,2010.0,1,27,25.05535,121.52547,2124,0.12,1,0.0,2,0,0
38616864,2010.0,1,27,25.05342,121.52505,9999,0.0,1,0.0,2,0,0
38638117,2073.0,1,1,25.12147,121.5496,9999,0.0,0,0.7315068493150685,2,6,1
38727191,1964.0,3,6,25.0461,121.51661,171,2.11,1,0.7534246575342466,0,1,0
38737126,3619.0,2,5,25.03998,121.50547,100,1.85,1,0.5095890410958904,0,11,0
38816655,1382.0,2,1,25.05411,121.51426,123,4.52,0,0.5780821917808219,0,7,0
38864059,2726.0,20,1,25.039552,121.587297,219,1.64,0,0.5013698630136987,0,2,0
38871852,5010.0,10,14,25.035855668375625,121.54434032362953,100,0.9,1,0.4684931506849315,0,8,0
38962582,3058.0,3,1,25.03915,121.58041,2182,0.07,0,0.7534246575342466,0,2,1
38963285,2796.0,2,10,25.04668,121.55719,366,0.13,1,0.20273972602739726,2,10,0
38963376,2010.0,2,10,25.0503,121.51751,737,0.09,1,0.0,2,7,0
39022896,3040.0,3,14,25.04821750481324,121.50894829852682,107,2.04,1,0.5780821917808219,0,11,0
39143921,3480.0,1,5,25.0617,121.5089,9999,0.0,1,0.8273972602739726,2,7,1
39168624,2010.0,29,2,25.03141,121.55637,1002,0.03,0,0.2410958904109589,2,8,0
39172513,1222.0,2,6,25.043698404369216,121.50353304545982,112,1.76,1,0.852054794520548,0,11,0
39180101,600.0,60,1,25.05023,121.51933,9999,0.0,0,0.9917808219178083,0,7,1
39207395,4660.0,6,1,25.0551,121.54869,9999,0.0,0,0.9945205479452055,2,10,1
39210071,1543.0,2,6,25.04322,121.50521,141,0.3,1,0.37534246575342467,2,11,0
39346856,2229.0,2,16,25.04298,121.50808,117,1.5,1,0.7753424657534247,0,11,0
39358911,1436.0,30,65,25.04198,121.51306,107,0.84,1,0.46301369863013697,0,1,0
39378715,2010.0,2,5,25.04506,121.51507,141,1.7,1,0.726027397260274,0,1,0
39380689,3766.0,2,3,25.04575,121.51489,94,0.8,1,0.4054794520547945,0,1,0
39381614,490.0,8,21,25.02051,121.52812,130,0.08,1,0.9205479452054794,2,1,0
39403539,2586.0,3,1,25.04631,121.57457,215,0.97,0,0.2191780821917808,0,2,0
39409321,1211.0,30,65,25.04428,121.51308,215,0.8,1,0.5041095890410959,0,1,0
39423910,1526.0,30,65,25.0433,121.51318,176,0.79,1,0.5808219178082191,0,1,0
39426504,3575.0,3,2,25.04511,121.50803,136,1.3,0,0.20821917808219179,0,11,0
39428970,941.0,30,65,25.04196,121.5133,326,0.96,1,0.5534246575342465,0,1,0
39429814,1286.0,30,65,25.04096,121.51509,220,0.93,1,0.5150684931506849,0,1,0
39439508,1204.0,30,65,25.04265,121.51452,311,0.96,1,0.4821917808219178,0,1,0
39496821,1985.0,30,65,25.04307,121.51499,276,0.79,1,0.4520547945205479,0,1,0
39498043,1331.0,30,65,25.04389,121.51283,272,1.07,1,0.4931506849315068,0,1,0
39511622,1347.0,30,65,25.04378,121.51445,217,0.91,1,0.4876712328767123,0,1,0
39516233,1785.0,30,65,25.04254,121.51308,184,1.01,1,0.4986301369863014,0,1,0
39520591,1999.0,1,2,25.05428,121.55469,9999,0.0,0,0.9808219178082191,2,10,1
39522137,1076.0,2,37,25.0388,121.50359,105,1.78,1,0.9178082191780822,0,11,0
39523820,1319.0,2,37,25.04096,121.50332,133,1.95,1,0.9232876712328767,0,11,0
39524157,1276.0,2,37,25.04071,121.50188,105,1.77,1,0.9397260273972603,0,11,0
39538798,949.0,30,65,25.04323,121.51273,130,0.94,1,0.35342465753424657,0,1,0
39565705,964.0,30,65,25.04237,121.51292,387,0.63,1,0.3561643835616438,0,1,0
39566070,1186.0,30,65,25.04148,121.51463,106,0.71,1,0.3506849315068493,0,1,0
39566337,1242.0,30,65,25.04161,121.51501,180,1.04,1,0.4273972602739726,0,1,0
39589698,1672.0,30,26,25.028342764789908,121.5629539489834,236,0.57,1,0.1506849315068493,0,2,0
39594976,903.0,2,2,25.03893,121.57825,108,0.7,0,0.4684931506849315,2,2,0
39634853,4163.0,2,11,25.04712,121.51535,154,0.73,1,0.03287671232876712,0,1,0
39637334,1605.0,30,65,25.04121,121.5136,254,1.39,1,0.3315068493150685,0,1,0
39637838,1587.0,30,65,25.04096,121.51508,494,1.03,1,0.4383561643835616,0,1,0
39638150,1571.0,30,65,25.04158,121.51504,381,0.78,1,0.3315068493150685,0,1,0
39638416,1066.0,30,65,25.04325,121.51419,184,1.01,1,0.3506849315068493,0,1,0
39638768,1075.0,30,65,25.0429,121.51479,98,0.85,1,0.3506849315068493,0,1,0
39640095,1165.0,30,65,25.04192,121.51327,223,0.71,1,0.4904109589041096,2,1,0
39680853,4723.0,2,2,25.13796,121.51137,123,0.87,0,0.9068493150684932,0,4,0
39707660,3048.0,60,1,25.04286,121.55056,9999,0.0,0,0.23835616438356164,2,8,0
39711074,1000.0,28,33,25.0434,121.5699,217,0.24,1,0.873972602739726,0,2,1
39736541,1270.0,30,65,25.04199,121.51521,136,1.0,1,0.5780821917808219,0,1,0
39737113,1435.0,30,65,25.04382,121.51509,155,0.9,1,0.473972602739726,0,1,0
39758627,1319.0,30,65,25.04266,121.51507,239,0.9,1,0.5643835616438356,0,1,0
39864435,2291.0,14,12,25.044712147490404,121.57452424130572,117,0.48,1,0.8958904109589041,0,2,0
39872818,3202.0,2,5,25.03962,121.50536,101,1.43,1,0.3643835616438356,0,11,0
39887118,855.0,3,1,25.04475,121.52492,166,0.76,0,0.08767123287671233,2,1,0
39988657,4237.0,4,13,25.03013,121.5662,108,0.66,1,0.40273972602739727,0,2,0
39999663,1401.0,30,5,25.07796,121.5467,318,0.19,1,0.8301369863013699,2,0,1
40017096,1079.0,2,5,25.03159,121.55404,141,0.7,1,0.1863013698630137,0,8,0
40142156,3048.0,1,1,25.04838,121.50843,2175,0.01,0,0.2465753424657534,2,11,0
40146493,4472.0,21,4,25.02566,121.53415,148,0.72,1,0.40821917808219177,0,8,0
40161986,800.0,29,1,25.034692408429883,121.5288831666112,140,0.31,0,0.8547945205479452,0,1,0
40167599,595.0,10,10,25.02927,121.56087,121,0.25,1,0.7808219178082192,2,2,0
40168607,666.0,7,10,25.02899,121.56303,363,0.12,1,0.2547945205479452,2,2,0
40183907,2010.0,50,77,25.02271,121.52383,9999,0.0,1,0.7726027397260274,2,1,1
